# =====================================================================
# Principle: Empty-collection literals — `[]` and `''`.
# =====================================================================
#
# Empty literals are concrete values, not type literals. `[]` is a
# `Node/List` value with zero elements (Data is a non-nil empty
# slice). `''` is a `Scalar/String` value with empty payload (Data
# is a non-nil empty string). They are NOT the same as the type
# literals `List` / `String` which have Data == nil and represent
# 'the type itself, no payload'.
#
# Rules being asserted
# --------------------
# 1. `[]` round-trips and renders as `[]`.
# 2. `''` round-trips and renders as `''`.
# 3. `lengthq [ ]` returns 0 — the handler treats the empty list
#    correctly without panicking (cf. CLAUDE.md 'Panic Prevention').
# 4. `first [ ]` returns `null` (the None type literal). The handler
#    in spec_test.go::registerSpecWords explicitly emits
#    `NewTypeLiteral(TNone)` for this case.
# 5. `concatq '' ''` returns `''` — empty + empty stays empty.
# 6. `concatq '' 'x'` returns `'x'` — empty is the identity for
#    string concatenation. (Same in the swap form.)
# 7. Nested empties — a list containing an empty string `[ '' ]` has
#    length 1 (the empty string is still a value); a list containing
#    an empty list `[ [ ] ]` has length 1 (the empty list is one
#    element).
# 8. Empty literals satisfy concrete-typed sigs. Per match.go's
#    sig-match step, `[]` (Data!=nil) DOES match a concrete TList
#    slot, while a bare `List` type literal (Data==nil) would NOT.
#    The '' case is analogous for TString.
#
# Why this matters
# ----------------
# A surprising fraction of engine bugs cluster around the empty/
# bare-type-literal distinction. The classic footgun is a handler
# that does `args[0].AsList().Len()` without checking Data — for a
# concrete `[]` this returns 0 cleanly; for a bare `List` type
# literal (Data==nil) it would panic. The signature-matching path
# already separates these (see match.go:233-236):
#
#     if tok.Data == nil && tok.VType.Equal(expectedType) &&
#         (expectedType.Equal(TMap) || expectedType.Equal(TList)) {
#         break // reject type literals for concrete Map/List
#     }
#
# This file pins the EMPTY-CONCRETE side of that contract; a future
# typeliteral.tsv file pins the type-literal side.
#
# Spec runner notes
# -----------------
# The renderer prints empty lists as `[]` (no spaces). Empty strings
# print as `''`. A `null` is rendered as `null` regardless of source.

# === Test fixtures (defined in eng/go/spec_test.go::registerSpecWords) ===
#   concatq  — [String String] forward-prec — args[1] + args[0] (string concat)
#   firstq   — [List] forward-prec — first element or None for empty list
#   lengthq  — [List] forward-prec — list length as Integer
# === end fixtures ===

# tokens	expected	note

# Round-trip and rendering.
[ ]	[]	empty list literal renders as []
''	''	empty string literal renders as ''
'' ''	'' ''	two empty strings on the stack
[ ] [ ]	[] []	two empty lists on the stack
[ ] ''	[] ''	mixed: empty list + empty string

# Words that introspect collections handle empty cleanly.
lengthq [ ]	0	empty list has length 0
firstq [ ]	none	first of empty list returns the None sentinel
lengthq [ '' ]	1	empty string is still a list element
lengthq [ [ ] ]	1	empty list is still a list element
firstq [ '' ]	''	first element when head is the empty string
firstq [ [ ] ]	[]	first element when head is the empty list

# String concatq with empties.
concatq '' ''	''	empty + empty = empty
concatq '' 'x'	'x'	left-empty: forward sig = [a='', b='x'] → '' + 'x' = 'x'
concatq 'x' ''	'x'	in mirror form: 1 prefix '' + 1 forward 'x' → sig[0]='x', sig[1]='' → 'x' + '' = 'x'. WAIT — this is the swap form. See arithmetic/strings: swap form reverses sig. So this concrete row tests the swap form on empties.
'' concatq 'x'	'x'	mirror form (1 prefix + 1 forward): sig[0]='x', sig[1]='' → 'x'
'a' '' concatq	'a'	all-prefix: top is '' → sig[0], deeper 'a' → sig[1] → '' + 'a' = 'a'

# Stack manipulation on empties.
[ ] dup	[] []	dup an empty list — two references to the same value
'' dup	'' ''	dup an empty string

# Auto-eval at end-of-Run does NOT change empty lists.
[ ]	[]	empty Eval=true list at end of Run drains via autoEvalStack to itself
