# tokens	expected	note
# =====================================================================		
# typeof / pathof — inspecting types		
# =====================================================================		
#		
# `typeof v` returns the type of `v` as a Type literal:		
#   - a concrete value -> its exact VType (Integer, ProperString, ...);		
#   - the unique `none` value -> None;		
#   - ANY type literal -> `Type`. Metatypes are collapsed: the		
#     type-of-a-type-literal is uniformly `Type` — there is no		
#     ScalarType / NodeType / ObjectType layer. So `typeof typeof v`		
#     is always `Type`.		
#		
# `pathof T` takes a TYPE (a Type literal, or any value whose VType is		
# a Type subtype — a Function / Disjunct / Enum value) and returns its		
# ancestry path as a List of Type literals, root first, leaf last —		
# declared signature `[ Type [:Type] ]`. The last element equals `T`:		
#   pathof Integer       -> [Scalar Number Integer]		
#   pathof List          -> [Node List]		
#   pathof Enum          -> [Type Disjunct Enum]		
#   pathof Type          -> [Type]		
#   pathof None          -> [None]		
# `pathof` does NOT accept a non-type value: `pathof 5` is a		
# signature_error. To get the path of a value's type, compose:		
# `pathof ( typeof 5 )` -> [Scalar Number Integer].		
#		
# === Test fixtures (eng/go/spec_test.go::registerSpecWords) ===		
#   lengthq — [List] forward-prec — list length		
#   firstq  — [List] forward-prec — first element or None		
#   addq    — [Number Number] forward-prec — args[1] + args[0]		
#   concatq — [String String] forward-prec — args[1] ++ args[0]		
#   Pre-bound defs: pi=3, tau=6, greeting='hello'.		
# === end fixtures ===		
		
# ====================================================================		
# 1. typeof — concrete scalar values		
# ====================================================================		
		
typeof 5	Integer	an Integer literal
typeof -7	Integer	negatives too
typeof 5.0	Decimal	a Decimal literal
typeof 3.14	Decimal	
typeof true	Boolean	
typeof false	Boolean	
typeof 'hello'	ProperString	a non-empty string is a ProperString
typeof ' '	ProperString	a single space is still non-empty
typeof ''	EmptyString	the empty string is an EmptyString
typeof ( quote red )	Atom	a quoted word is an Atom
typeof none	None	the unique inhabitant of None reports None
typeof pi	Integer	a def-bound reference resolves to the bound value first
typeof greeting	ProperString	
		
# ====================================================================		
# 2. typeof — nodes		
# ====================================================================		
		
typeof [ ]	List	
typeof [ 1 2 3 ]	List	
typeof { }	Map	
typeof { a:1 b:2 }	Map	
typeof [ [ 1 ] { a:2 } ]	List	a list of mixed nodes is still a List
typeof { a:[ 1 ] b:{ c:2 } }	Map	a map with mixed node values is still a Map
		
# ====================================================================		
# 3. typeof — type literals: every one reports `Type` (exhaustive)		
# ====================================================================		
# Every well-known type name, when used as a value, has typeof `Type`.		
		
# --- the lattice extremes ---		
typeof Any	Type	the top type
typeof None	Type	the unit type (its sole *value* `none` reports None — see §1)
typeof Never	Type	the empty/bottom type
		
# --- scalar family ---		
typeof Scalar	Type	
typeof Number	Type	
typeof Integer	Type	metatypes are collapsed — no ScalarType layer
typeof Decimal	Type	
typeof String	Type	
typeof ProperString	Type	
typeof EmptyString	Type	
typeof Boolean	Type	
typeof Path	Type	
typeof Atom	Type	
		
# --- node family ---		
typeof Node	Type	no NodeType layer either
typeof List	Type	
typeof Map	Type	
		
# --- object family ---		
typeof Object	Type	no ObjectType layer either
typeof Resource	Type	
typeof Entity	Type	
typeof Table	Type	
typeof Record	Type	
typeof Options	Type	
typeof Array	Type	
typeof Timeout	Type	
typeof Interval	Type	
		
# --- type family (Function / FunctionSignature / Disjunct / Enum all parent to Type) ---		
typeof Function	Type	the Function *type* literal
typeof FunctionSignature	Type	
typeof Disjunct	Type	
typeof Enum	Type	
typeof Type	Type	the Type type literal is itself a Type
		
# ====================================================================		
# 4. typeof — function / fnsig / enum / tor values		
# ====================================================================		
		
typeof fn [ [ a:Integer ] [ Integer ] [ a addq 1 ] ]	Function	a one-signature function value
typeof fn [ Integer Integer [ addq 1 ] ]	Function	abbreviated form: bare input/output types, no param lists; body uses the stack
typeof fn [ [ a:Integer ] [ Integer ] [ a ] [ s:String ] [ String ] [ s ] ]	Function	a multi-signature function (two full triples) — params `a` and `s` are bound in their bodies
typeof fn [ Integer Integer [ addq 1 ] String String [ concatq '!' ] ]	Function	multi-signature, abbreviated form — bodies are param-free (the abbreviated form binds no names)
