# tokens	expected	note
# =====================================================================		
# Principle: Types are first-class. Type literals push as values; the		
# `type`/`untype`/`typeof`/`is` words install, retract, inspect, and		
# test type bindings. None is the unit type, spelled `none`; its sole		
# inhabitant IS the value `none`. The atom `null` is reserved for JSON		
# null at the value level.		
# =====================================================================		
#		
# This spec consolidates everything about types in aqleng:		
#		
#   1. Type-name words push type-literal values (Integer, String, …).		
#      Type names are globally unique so the renderer prints just the		
#      leaf (e.g. Integer, not Scalar/Number/Integer).		
#		
#   2. `none` parses to a None type literal. Rendering: 'none'.		
#		
#   3. `null` parses to an Atom('null') — the JSON-null value, NOT a		
#      type literal.		
#		
#   4. `type NAME body` installs a type binding (NAME starts [A-Z]).		
#      Body can be a type literal, a record-shape map (`{x:Integer}`),		
#      or any value satisfying IsTypeBody.		
#		
#   5. `untype NAME` pops the most-recent binding.		
#		
#   6. `typeof v` returns a Type literal — the type of v as a value.		
#      For a concrete value, returns its exact VType (`typeof 5 →		
#      Integer`). For a type literal, returns its metatype (`typeof		
#      Integer → Type`). For `none`, returns None itself.		
#		
#   7. `v is T` returns Boolean — does v satisfy type T?		
#		
#   8. Type literals are rejected at every concrete-payload sig slot		
#      (anything other than TAny / metatype / matching TNone).		
#		
# Why this matters		
# ----------------		
# Type literals are the language's value-level handle on its types —		
# they're how you spell 'the type Integer' or 'the type List'. Every		
# reflective / generic operation (predicates, type equality, type		
# unions, dispatch) builds on them. typeof + is together let user code		
# branch on type at run time without resorting to ad-hoc string		
# comparisons; the Type-typed return of typeof keeps the result		
# composable (typeof's output IS a value usable by `is`).		
#		
# What's NOT covered		
# ------------------		
# This is the aqleng (engine-kernel) subset. The richer type words		
# (record, table, object, make, guard, inspect, base, convert, …) are		
# layered on top in production aql; their semantics depend on parser /		
# native-mod features that are intentionally out of aqleng scope.		
		
# === Test fixtures (defined in eng/go/spec_test.go::registerSpecWords) ===		
#   addq     — [Number Number] forward-prec — args[1] + args[0] (decimal contagion)		
#   subq     — [Number Number] forward-prec — args[1] - args[0] (decimal contagion)		
#   concatq  — [String String] forward-prec — args[1] + args[0] (string concat)		
#   firstq   — [List] forward-prec — first element or None for empty list		
#   lengthq  — [List] forward-prec — list length as Integer		
#   tagq     — two overloads [Integer]→'specific' / [Any]→'any' — specificity scoring		
# === end fixtures ===		
		
		
# =====================================================================		
# 1. Type literals push as values		
# =====================================================================		
# A bare unquoted word that matches a type name is recognised by the		
# engine (typeNames table in eng/go/engine.go) and resolves to a		
# type-literal Value: VType = the named Type, Data = nil. The renderer		
# prints just the leaf of the type path because type names are		
# globally unique.		
		
# Leaf rendering — every type literal renders as its leaf.		
# Family roots (Scalar / Node / Object) and the metatype root (Type)		
# are themselves type-name words that resolve to type literals.		
Scalar	Scalar	scalar-family root
Number	Number	scalar mid-level
Integer	Integer	scalar leaf
Decimal	Decimal	
String	String	
ProperString	ProperString	String subtype: type of every non-empty string
EmptyString	EmptyString	String subtype: unique inhabitant is the empty string
Boolean	Boolean	
Atom	Atom	
Path	Path	
Node	Node	node-family root
List	List	
Map	Map	
Object	Object	object-family root
Record	Record	object-family member
Resource	Resource	
Entity	Entity	
Table	Table	
Array	Array	
Options	Options	
Any	Any	universal top type
Never	Never	uninhabited bottom type
Type	Type	metatype root
Type	Type	metatype subkinds
Type	Type	
Type	Type	
Timeout	Timeout	temporal types
Interval	Interval	
		
# Multiple type literals on the stack — each renders independently.		
Integer Integer	Integer Integer	
Number Scalar Integer	Number Scalar Integer	
		
# Type literal next to a concrete value.		
1 Integer	1 Integer	concrete 1, then Integer type literal
'x' String	'x' String	
		
# def can bind a type literal as a simple value (the def-stack route).		
def t Integer t	Integer	
def t Number t	Number	
def t List t	List	
		
# To get the Atom version of a type-name word, quote it.		
quote Integer	Integer	type-name words parse as type literals before quote sees them; quote of a type literal returns it unchanged
quote String	String	
def t quote Integer t	Integer	
		
# =====================================================================		
# 2. None and null		
# =====================================================================		
# `none` is the single inhabitant of the None type. Its VType is		
# TNone, Data == nil. Renders back as 'none' via a dedicated branch in		
# renderValue. `null`, by contrast, is reserved for JSON-null at the		
# value level — the spec tokenizer parses it to Atom('null'), which		
# renders as '(quote null)'.		
		
none	none	bare none round-trips as the None type literal
none none	none none	multiple nones coexist
1 none 2	1 none 2	none between integers — non-interfering
typeof none	None	None is its own 'type' (no metatype lookup); typeof returns None
		
# null is an atom, not a type literal.		
null	(quote null)	`null` tokenises to Atom('null')
quote null	(quote null)	quoting an atom returns the atom unchanged
		
# Dispatch — none at typed sigs fails (matcher rejects type literals);		
# only Any-typed sigs accept it via the catch-all rule.		
tagq none	'any'	None hits [TAny] catch-all
addq none 1	ERROR:signature	addq wants [Number, Number]; None rejected at concrete slot
addq 1 none	ERROR:signature	either slot
concatq 'a' none	ERROR:signature	[String, String] rejects None
not none	true	`not` has [TAny] fallback; CoerceBoolean(none) = false → !false = true
lengthq none	ERROR:signature	[List] rejects None
		
# firstq on an empty list returns the None sentinel.		
firstq [ ]	none	empty list → none
lengthq [ none ]	1	none inside a list is a value
firstq [ none 1 ]	none	first element of a list whose head is none
		
# =====================================================================		
# 3. typeof — type of a value		
# =====================================================================		
# Returns a Type literal. Rules:		
#		
#   - none (the unique inhabitant of None) → None		
#   - any other type literal (Data == nil) → its metatype		
#   - concrete value → its exact VType		
#		
# typeof's result is a value that round-trips through `is`.		
		
# Concrete scalars — typeof returns the EXACT type, not parts[1].		
typeof 5	Integer	
typeof -7	Integer	
typeof 0	Integer	
typeof 5.0	Decimal	
typeof 0.0	Decimal	
typeof 'x'	ProperString	non-empty strings carry the ProperString subtype
typeof ''	EmptyString	the empty string is the unique inhabitant of EmptyString
typeof 'hello'	ProperString	
typeof 'a'	ProperString	
typeof true	Boolean	
typeof false	Boolean	
		
# Concrete containers.		
typeof [ ]	List	
typeof [ 1 2 3 ]	List	
typeof [ 'a' 'b' ]	List	
typeof { }	Map	
typeof { x:1 }	Map	
		
# Type literals — typeof reports the metatype.		
typeof Integer	Type	Scalar/* → Type
typeof Decimal	Type	
typeof String	Type	
typeof Boolean	Type	
typeof Number	Type	all Scalar/* including Number
typeof Atom	Type	
typeof List	Type	Node/* → Type
typeof Map	Type	
typeof Scalar	Type	Scalar has 1 part → MetatypeFor → Type
typeof Any	Type	Any has 1 part
typeof Type	Type	the metatype root itself
		
# typeof composes with simple-value defs.		
def n 5 typeof n	Integer	
def s 'hi' typeof s	ProperString	
		
# typeof's result IS a Type — round-trips:		
typeof typeof 5	Type	typeof Integer = Type
typeof typeof 'x'	Type	
typeof typeof none	Type	typeof none → None type literal; typeof None → metatype = Type (None has 1 part)
		
# =====================================================================		
# 4. type — install a type binding		
# =====================================================================		
# `type NAME body` validates and pushes (NAME, body) onto the type		
# stack. NAME must start [A-Z]; body must satisfy IsTypeBody (a type		
# literal, disjunct, implicit-map record shape, …). References to		
# NAME resolve to the most-recent binding.		
		
# Basic install + use.		
type Foo Integer Foo	Integer	Foo resolves to the Integer type literal
type Bar String Bar	String	
type Pi Number Pi	Number	
		
# typeof resolves the Word to its bound type literal first.		
type Foo Integer typeof Foo	Type	Foo → Integer; typeof Integer → Type
type Lst List typeof Lst	Type	
		
# Multiple type bindings live independently.		
type Foo Integer type Bar String Foo Bar	Integer String	
		
# =====================================================================		
# 5. type — record-shape (Node/Map) bodies		
# =====================================================================		
# An implicit-map literal `{name:Type ...}` is a structural record		
# shape: a map whose keys carry expected types. type can install one		
# directly. Then `is` checks shape conformance.		
		
type R { x:Integer y:String } typeof R	Type	an implicit map is a Map; metatype is Type
type R { x:Integer } R	{x:Integer}	the bound type literal renders as the implicit-map syntax
		
# Single-field record.		
type Point { x:Integer y:Integer } typeof Point	Type	
		
# Record with mixed field types.		
type Person { name:String age:Integer } typeof Person	Type	
		
# Nested-bracket record syntax — values can themselves be type literals.		
type Nested { kind:String n:Number } typeof Nested	Type	
		
# =====================================================================		
# 6. type — name validation		
# =====================================================================		
# NAME must start with a capital letter; otherwise type_error. Bodies		
# are accepted broadly: every value is a valid type body, since AQL		
# treats scalars and collections as types in their own right (the		
# singleton type whose only inhabitant equals that value). Validation		
# focuses on the name.		
type foo Integer	ERROR:type_error	lowercase first char rejected
type 1Foo Integer	ERROR:type_error	digit first char also fails the capital-letter check
		
# =====================================================================		
# 7. type / def namespace independence		
# =====================================================================		
# def names start lowercase; type names start uppercase. The two		
# stacks are independent.		
def x 5 type X Integer		x and X are different names; both succeed
def foo 5 type Foo Integer		foo (def) and Foo (type) coexist
type T Integer def t 5		T (type) and t (def) coexist
		
# =====================================================================		
# 8. type stack — shadow + pop		
# =====================================================================		
# `type` pushes; `untype` pops the most-recent. Shadowing reveals the		
# previous binding when the top is popped.		
		
type Foo Integer type Foo String Foo	String	the String binding shadows the Integer one
type Foo Integer type Foo String typeof Foo	Type	typeof on the shadow still reports Type
type Foo Integer type Foo String untype Foo Foo	Integer	pop reveals the previous binding
type Foo Integer untype Foo		untype on the only binding empties the stack
type Foo Integer untype Foo Foo	ERROR:undefined_word	Foo is no longer a registered type
		
# =====================================================================		
# 9. untype — error paths		
# =====================================================================		
untype Foo	ERROR:type_error	no Foo on the type stack
untype foo	ERROR:type_error	lowercase name rejected before the lookup
		
# =====================================================================		
# 10. is — type-test predicate		
# =====================================================================		
# `v is T` reads naturally: T is the upcoming forward word, v sits on		
# the prefix stack. Returns Boolean.		
		
# --- `<value> is <type>`: every value kind against the type lattice (exhaustive) ---		
# `v is T` is true iff v's exact type is T or a subtype of T — so it		
# holds for every ancestor of `typeof v`, and for `Any`. Sibling		
# types, narrower types, and unrelated lattice roots are false. A		
# concrete *value* is never a *type*, so `v is Type` is false.		
		
# Integer values.		
5 is Integer	true	exact type
5 is Number	true	Integer's parent
5 is Scalar	true	...and its grandparent
5 is Any	true	everything is Any
5 is Decimal	false	sibling under Number
5 is Boolean	false	sibling under Scalar
5 is String	false	
5 is Atom	false	
5 is List	false	a different lattice root
5 is Map	false	
5 is Object	false	
5 is None	false	
5 is Never	false	nothing is Never
5 is Type	false	a value is not a type
5 is 5	true	a value is its own singleton type
5 is 6	false	a different singleton
-7 is Integer	true	negatives are Integers
-7 is Number	true	
-7 is Scalar	true	
		
# Decimal values.		
5.0 is Decimal	true	exact type
5.0 is Number	true	Decimal's parent
5.0 is Scalar	true	
5.0 is Any	true	
5.0 is Integer	false	sibling under Number
5.0 is String	false	
3.14 is Decimal	true	
		
# Boolean values.		
true is Boolean	true	exact type
true is Scalar	true	Boolean is DIRECTLY under Scalar
true is Any	true	
true is Number	false	a Boolean is not a Number
true is Integer	false	
true is String	false	
true is true	true	singleton
true is false	false	
false is Boolean	true	
		
# String values — ProperString / EmptyString partition String.		
'hello' is ProperString	true	non-empty strings carry the ProperString subtype
