# AQL Language Specification: Arithmetic (add sub mul div mod pow)
# Format: input<TAB>expected<TAB>description
#
# The binary math words follow the kernel's ONE convention: the handler
# computes `args[1] OP args[0]`, so the SWAP form `a op b` reads naturally
# (`10 sub 3 = 7`, `20 div 4 = 5`, `2 pow 10 = 1024`) while the pure
# forward form `op a b` computes `b OP a` (`sub 10 3 = 3-10 = -7`). add and
# mul are commutative so both forms agree. Integer/Integer stays Integer
# (integer division truncates); any Float operand promotes to Float.
#
# ─────────────────────────────────────────────────────────────────────
# §1  add / mul — commutative
add 2 3	5	addition
2 add 3	5	swap form agrees (commutative)
add -3 8	5	negative operand
mul 4 5	20	multiplication
mul -2 -3	6	negative × negative
add 2.5 1.5	4.0	Float addition stays Float
mul 2.5 4	10.0	Integer operand promotes to Float
#
# §2  sub / div / mod / pow — non-commutative (handler computes b OP a)
sub 10 3	-7	forward `sub 10 3` = 3-10
10 sub 3	7	swap `10 sub 3` = 10-3 (natural reading)
sub 1.0 0.25	-0.75	Float subtraction
div 20 4	0	forward `div 20 4` = 4/20 = 0 (integer division truncates)
20 div 4	5	swap `20 div 4` = 20/4 = 5 (natural reading)
div 7 2	0	integer division truncates toward zero
div 7.0 2	0.2857142857142857	Float operand → Float division
mod 17 5	5	forward `mod 17 5` = 5 mod 17 = 5
10 mod 3	1	swap `10 mod 3` = 10 mod 3 = 1 (natural reading)
pow 2 10	100	forward `pow 2 10` = 10^2 = 100
2 pow 10	1024	swap `2 pow 10` = 2^10 = 1024 (natural reading)
pow 2 0.5	0.25	`pow 2 0.5` = 0.5^2 = 0.25
#
# §3  add concatenates as String only when AT LEAST ONE operand is a
#     String; the other Scalar coerces (b ++ a, mirroring b OP a). Two
#     non-String scalars match neither overload → type error (WAT §G).
add 1 'x'	'x1'	Integer + String → String concat 'x'++'1' (one operand is a String)
add 'a' 'b'	'ba'	String + String concatenates in b++a order
add true 'x'	'xtrue'	Boolean + String → the String operand admits concat, Boolean coerces
add 'x' 2.5	'2.5x'	String + Float coerces the Float to its string form
add true 1	ERROR:no matching signature	Boolean + Integer: neither is a String → no concat, type error
add true false	ERROR:no matching signature	two Booleans: neither is a String → type error (was silently 'falsetrue')
#
# §4  numeric equivalence across leaves
eq 1 1.0	true	Integer and Float of equal magnitude compare equal
#
# §5  errors
20 div 0	ERROR:division by zero	integer division by zero (no integer infinity)
0.0 div 0.0	nan	Float 0/0 is IEEE-754 NaN, not an error
1.0 div 0.0	inf	Float x/0 is IEEE-754 +inf
mod 7 0	0	`mod 7 0` = 0 mod 7 = 0 (divisor is the swapped operand, no error)
add 1 'x' 'y'	'x1' 'y'	add is binary: the third value is left on the stack
#
# §6  integer overflow — a uniform error, never a silent wrap or Float
#     (WAT Exhibit K; see design/INTEGER-OVERFLOW-STRATEGY.5.md).
9223372036854775807 add 1	ERROR:integer_overflow	maxint + 1 overflows rather than wrapping/promoting
9223372036854775806 add 1	9223372036854775807	one below maxint is still in range — no error
-9223372036854775808 sub 1	ERROR:integer_overflow	minint - 1 underflows
4000000000 mul 4000000000	ERROR:integer_overflow	product exceeds int64 (was a silent two's-complement wrap)
2 pow 63	ERROR:integer_overflow	2^63 overflows (was a silent wrap to minint)
2 pow 62	4611686018427387904	2^62 is the largest in-range power of two — no error
1000000 mul 1000000	1000000000000	a large but in-range product is unaffected
9223372036854775807 add 1.0	9223372036854776000.0	a Float operand opts out of the integer check (IEEE-754 result)
