# AQL corpus: native module words (auto-generated from `aql describe` examples, verified interpret+check+compile)
# Format: input<TAB>expected<TAB>word
import "aql:array-util" end ArrayUtil.at ['a','b'] ['c','d']	['c' 'c']	array-util:at
import "aql:array-util" end ArrayUtil.compress ['a','b'] ['c','d']	['c' 'd']	array-util:compress
import "aql:array-util" end ArrayUtil.expand ['a','b'] ['c','d']	['c' 'd']	array-util:expand
import "aql:array-util" end ArrayUtil.grade ['a','b']	[0 1]	array-util:grade
import "aql:array-util" end ArrayUtil.group ['a','b'] ['c','d']	{'a':['c'] 'b':['d']}	array-util:group
import "aql:array-util" end ArrayUtil.group ['e','f']	{'e':[0] 'f':[1]}	array-util:group
import "aql:array-util" end ArrayUtil.indices ['a','b'] ['c','d']	[-1 -1]	array-util:indices
import "aql:array-util" end ArrayUtil.insert-at 2 2 ['a','b']	['a' 'b' 2]	array-util:insert-at
import "aql:array-util" end ArrayUtil.member ['a','b'] ['c','d']	[false false]	array-util:member
import "aql:array-util" end ArrayUtil.pairs ['a','b']	[['a' 'b']]	array-util:pairs
import "aql:array-util" end ArrayUtil.rank ['a','b']	1	array-util:rank
import "aql:array-util" end ArrayUtil.replicate ['a','b'] ['c','d']	[]	array-util:replicate
import "aql:array-util" end ArrayUtil.shape ['a','b']	[2]	array-util:shape
import "aql:array-util" end ArrayUtil.sortby ['a','b'] ['c','d']	['c' 'd']	array-util:sortby
import "aql:array-util" end ArrayUtil.unique ['a','b']	['a' 'b']	array-util:unique
import "aql:array-util" end ArrayUtil.where ['a','b']	[0 1]	array-util:where
import "aql:array-util" end ArrayUtil.window 2 ['a','b']	[['a' 'b']]	array-util:window
import "aql:bin-util" end BinUtil.band 2 3	2	bin-util:band
import "aql:bin-util" end BinUtil.bitlen 2	2	bin-util:bitlen
import "aql:bin-util" end BinUtil.bnot 2	-3	bin-util:bnot
import "aql:bin-util" end BinUtil.bor 2 3	3	bin-util:bor
import "aql:bin-util" end BinUtil.bsl 2 3	12	bin-util:bsl
import "aql:bin-util" end BinUtil.bsr 2 3	0	bin-util:bsr
import "aql:bin-util" end BinUtil.busr 2 3	0	bin-util:busr
import "aql:bin-util" end BinUtil.bxor 2 3	1	bin-util:bxor
import "aql:bin-util" end BinUtil.chr 2	''	bin-util:chr
import "aql:bin-util" end BinUtil.clear 2 3	3	bin-util:clear
import "aql:bin-util" end BinUtil.clz 2	62	bin-util:clz
import "aql:bin-util" end BinUtil.ctz 2	1	bin-util:ctz
import "aql:bin-util" end BinUtil.extract 2 3 4	1	bin-util:extract
import "aql:bin-util" end BinUtil.fnv32 'a'	3826002220	bin-util:fnv32
import "aql:bin-util" end BinUtil.fnv64 'a'	3414815163700866188	bin-util:fnv64
import "aql:bin-util" end BinUtil.insert 2 3 4 5	1	bin-util:insert
import "aql:bin-util" end BinUtil.mask 2	3	bin-util:mask
import "aql:bin-util" end BinUtil.ord 'a'	97	bin-util:ord
import "aql:bin-util" end BinUtil.parity 2	true	bin-util:parity
import "aql:bin-util" end BinUtil.popcount 2	1	bin-util:popcount
import "aql:bin-util" end BinUtil.reverse 2	4611686018427387904	bin-util:reverse
import "aql:bin-util" end BinUtil.rotl 2 3	12	bin-util:rotl
import "aql:bin-util" end BinUtil.rotr 2 3	-4611686018427387904	bin-util:rotr
import "aql:bin-util" end BinUtil.set 2 3	7	bin-util:set
import "aql:bin-util" end BinUtil.swap 2	144115188075855872	bin-util:swap
import "aql:bin-util" end BinUtil.test 2 3	false	bin-util:test
import "aql:bin-util" end BinUtil.toggle 2 3	7	bin-util:toggle
import "aql:emitlang" end EmitLang.emit_auto 2 {a:1,b:2}	'2'	emitlang:emit_auto
import "aql:emitlang" end EmitLang.emit_json 2 {a:1,b:2}	'2'	emitlang:emit_json
import "aql:emitlang" end EmitLang.emit_jsonic 2 {a:1,b:2}	'2'	emitlang:emit_jsonic
import "aql:emitlang" end EmitLang.emit_yaml 2 {a:1,b:2}	'2'	emitlang:emit_yaml
import "aql:io" end IO.write 'a' 'b' {a:1,b:2}	'a'	io:write
import "aql:io" end IO.write 'c' 2 {c:3,d:4}	'c'	io:write
import "aql:io" end IO.write 'd' 'e'	'd'	io:write
import "aql:io" end IO.write 'f' 3	'f'	io:write
import "aql:logic-util" end LogicUtil.iff 2 3	true	logic-util:iff
import "aql:logic-util" end LogicUtil.iff true false	false	logic-util:iff
import "aql:logic-util" end LogicUtil.implies 2 3	true	logic-util:implies
import "aql:logic-util" end LogicUtil.implies true false	true	logic-util:implies
import "aql:logic-util" end LogicUtil.nand 2 3	false	logic-util:nand
import "aql:logic-util" end LogicUtil.nand true false	true	logic-util:nand
import "aql:logic-util" end LogicUtil.nor 2 3	false	logic-util:nor
import "aql:logic-util" end LogicUtil.nor true false	false	logic-util:nor
import "aql:logic-util" end LogicUtil.xnor 2 3	true	logic-util:xnor
import "aql:logic-util" end LogicUtil.xnor true false	false	logic-util:xnor
import "aql:math-util" end MathUtil.abs 2	2	math-util:abs
import "aql:math-util" end MathUtil.acos 2	nan	math-util:acos
import "aql:math-util" end MathUtil.asin 2	nan	math-util:asin
import "aql:math-util" end MathUtil.atan 2	1.1071487177940904	math-util:atan
import "aql:math-util" end MathUtil.atan2 2 3.5	1.0516502125483735	math-util:atan2
import "aql:math-util" end MathUtil.cbrt 2	1.2599210498948732	math-util:cbrt
import "aql:math-util" end MathUtil.copysign 2 3.5	3.5	math-util:copysign
import "aql:math-util" end MathUtil.cos 2	-0.4161468365471424	math-util:cos
import "aql:math-util" end MathUtil.exp 2	7.38905609893065	math-util:exp
import "aql:math-util" end MathUtil.fma 2 3.5 4	11.0	math-util:fma
import "aql:math-util" end MathUtil.hypot 2 3.5	4.031128874149275	math-util:hypot
import "aql:math-util" end MathUtil.is-finite 2	true	math-util:is-finite
import "aql:math-util" end MathUtil.is-inf 2	false	math-util:is-inf
import "aql:math-util" end MathUtil.is-nan 2	false	math-util:is-nan
import "aql:math-util" end MathUtil.log 2	0.6931471805599453	math-util:log
import "aql:math-util" end MathUtil.log10 2	0.3010299956639812	math-util:log10
import "aql:math-util" end MathUtil.log2 2	1.0	math-util:log2
import "aql:math-util" end MathUtil.logb 2	1.0	math-util:logb
import "aql:math-util" end MathUtil.max 2 3.5	3.5	math-util:max
import "aql:math-util" end MathUtil.min 2 3.5	2.0	math-util:min
import "aql:math-util" end MathUtil.negate 2	-2	math-util:negate
import "aql:math-util" end MathUtil.nextafter 2 3.5	3.4999999999999996	math-util:nextafter
import "aql:math-util" end MathUtil.remainder 2 3.5	-0.5	math-util:remainder
import "aql:math-util" end MathUtil.scalb 2 3.5	14.0	math-util:scalb
import "aql:math-util" end MathUtil.sign 2	1	math-util:sign
import "aql:math-util" end MathUtil.signbit 2	false	math-util:signbit
import "aql:math-util" end MathUtil.sin 2	0.9092974268256816	math-util:sin
import "aql:math-util" end MathUtil.sqrt 2	1.4142135623730951	math-util:sqrt
import "aql:math-util" end MathUtil.tan 2	-2.185039863261519	math-util:tan
import "aql:matrix-util" end MatrixUtil.eye 2	Matrix(2x2)	matrix-util:eye
import "aql:matrix-util" end MatrixUtil.fill 2 3 2	Matrix(2x3)	matrix-util:fill
import "aql:matrix-util" end MatrixUtil.ones 2 3	Matrix(3x2)	matrix-util:ones
import "aql:matrix-util" end MatrixUtil.zeros 2 3	Matrix(3x2)	matrix-util:zeros
import "aql:minilang" end MiniLang.lang_bf 'a' {a:1,b:2} 'b'	''	minilang:lang_bf
import "aql:minilang" end MiniLang.lang_bf 'c' {c:3,d:4}	''	minilang:lang_bf
import "aql:minilang" end MiniLang.lang_gex 'a' {a:1,b:2} 2	None	minilang:lang_gex
import "aql:minilang" end MiniLang.lang_jp 'a' {a:1,b:2} 2	[]	minilang:lang_jp
import "aql:minilang" end MiniLang.lang_m 'a' {a:1,b:2}	1	minilang:lang_m
import "aql:minilang" end MiniLang.lang_re 'a' {a:1,b:2} 'b'	{ok:false ms:[] n:0}	minilang:lang_re
import "aql:query" end Query.select ['a','b']	[]	query:select
import "aql:rand" end Rand.int 2 3	2	rand:int
import "aql:rand" end Rand.list-of ['a','b'] 2	['b' 'b']	rand:list-of
import "aql:rand" end Rand.string 'a' 2	'aa'	rand:string
