# boru Language Specification: Predicate types (fnpred)
# Format: input<TAB>expected<TAB>description
#
# fnpred is fnsig's mirror. `fn` takes input, output and body; each of the
# other two drops the slot it does not need:
#
#     fn      input  output  body     the whole function
#     fnsig   input  output           minus the BODY   → a function TYPE
#     fnpred  input          body     minus the OUTPUT → a predicate TYPE
#
# A predicate's output is not a choice — it is membership — so there is no
# output slot to write. Bound to a capitalised name, the result is a type
# every typed slot enforces.
#
# WHY IT EXISTS (NUR099). Without it the only route to an arbitrary
# predicate type is a capitalised `def` over a fn body, which makes the CASE
# of the name decide whether a body is a callable function or a membership
# test, and makes the parameter COUNT decide whether the binding is a
# predicate at all — an arity-keyed exception ADR-016 forbids. `fnpred` says
# it instead of inferring it.
#
# WHERE THE `is` ROWS ARE. `4 is Even` is the headline spelling, and it does
# not compile: a predicate type's body is a function value, and a function
# value reaching `is` is a Stage 3 refusal — pre-existing, and identical for
# the capitalised-fn form this word replaces. Those rows therefore live in
# lang/spec/frontier/frontier-fnpred.tsv with a ledger entry, which is why
# no `is` row appears below. Every row here compiles; the typed-def and
# typed-param forms exercise the same membership through slots that do.
#
# ─────────────────────────────────────────────────────────────────────
# §1  The pair form — fnpred <input> <body>
def Even fnpred n:Integer [eq 0 (mod 2 n)]  typeof Even	Integer	the node is parented at the INPUT type, so it inherits Integer's capabilities
def Even fnpred n:Integer [eq 0 (mod 2 n)]  def p:Even 4  p	4	a typed def admits a member
def Even fnpred n:Integer [eq 0 (mod 2 n)]  def q:Even 5  q	ERROR:does not satisfy	…and refuses a non-member
#
# §2  The spec-list form — a LIST input always selects it, exactly as with fn
def Even fnpred [[n:Integer] [eq 0 (mod 2 n)]]  def p:Even 4  p	4	the spec-list form is the same type
def Even fnpred [[n:Integer] [eq 0 (mod 2 n)]]  def q:Even 5  q	ERROR:does not satisfy	…and refuses the same values
#
# §3  Both membership conventions — the body chooses
#     (a) return a Boolean
def Big fnpred n:Integer [n gt 10]  def p:Big 50  p	50	Boolean convention: true means member
def Big fnpred n:Integer [n gt 10]  def q:Big 5  q	ERROR:does not satisfy	…and false means not
#     (b) None-on-failure: the VALUE for a member, none for a non-member
def Positive fnpred n:Integer [if (n gt 0) [n] [None]]  def p:Positive 5  p	5	None-on-failure: a non-none result means member
def Positive fnpred n:Integer [if (n gt 0) [n] [None]]  def q:Positive 0  q	ERROR:does not satisfy	…and none means not
#
# §4  A predicate type is a TYPE: dispatch enforces it at parameters
def Even fnpred n:Integer [eq 0 (mod 2 n)]  def f fn [[n:Even] [Integer] [n]]  f 4	4	a parameter admits a member
def Even fnpred n:Integer [eq 0 (mod 2 n)]  def f fn [[n:Even] [Integer] [n]]  f 5	ERROR:signature_error	…and dispatch refuses a non-member
#
# §5  Same type as the capitalised-fn form it replaces
def Even fnpred n:Integer [eq 0 (mod 2 n)]  def p:Even 4  p	4	fnpred…
def Even fn n:Integer Boolean [eq 0 (mod 2 n)]  def p:Even 4  p	4	…and the legacy capitalised-fn route agree
#
# §6  Negatives — the spec list takes PAIRS, not triples
#     (both are runtime-only shape errors: the checker cannot statically
#     flag a malformed spec list, so they carry an unflaggedPins entry.)
def E fnpred [[n:Integer]]	ERROR:fnpred_invalid_spec	an odd-length spec list: pairs, not triples
def E fnpred [[n:Integer] [1] [2]]	ERROR:fnpred_invalid_spec	…and a triple is not a pair — that is `fn`
#     A well-shaped pair whose INPUT is not a valid param spec fails in
#     construction, exactly as `fn`'s does — fnpred adds no new leniency.
def E fnpred [[n:NoSuchTypeXyz] [1]]	ERROR:unknown type	an unknown param type is refused at construction
