# boru Language Specification: Higher-order list words (each fold scan join)
# Format: input<TAB>expected<TAB>description
#
# each / fold / scan take an unevaluated CODE BODY (NoEvalArgs) as their
# first argument and a collection as the second; the body runs against
# each element on the stack. fold optionally takes an initial accumulator;
# scan has no init form — it always seeds from the first element. (filter,
# which takes a Function callback, and the richer combinators —
# where/group/unique/sortby — live in the boru:array-util module.)
#
# ─────────────────────────────────────────────────────────────────────
# §1  each — map a code body over a list
each [mul 2] [1 2 3]	[2 4 6]	double each element
each [add 1] [10 20 30]	[11 21 31]	increment each element
each [dup add] [1 2 3]	[2 4 6]	the body may use stack ops
[1 2 3] each [mul 2]	[2 4 6]	mixed split (collection on the stack)
#
# §2  fold — reduce a list with a binary body
fold [add] [1 2 3 4] 0	10	sum with explicit initial accumulator
fold [add] [1 2 3 4]	10	no-init form folds from the first element
fold [mul] [1 2 3 4] 1	24	product
#
# §3  scan — running (prefix) reduction
scan [add] [1 2 3]	[1 3 6]	running sums
scan [mul] [1 2 3 4]	[1 2 6 24]	running products
scan [add] [42]	[42]	a singleton is just its seed (scan has no init form)
scan [add] []	[]	empty in, empty out
#
# §4  join — concatenate list elements into a String
join ',' ['a' 'b' 'c']	'a,b,c'	join with a separator
join ['a' 'b' 'c']	'a,b,c'	default separator is a comma
#
# §6  LIST Function form for each / for-each / fold / scan (NUR086's fix,
#     2026-08-24). The callback receives the ELEMENT — the container's
#     natural unit — so a plain `Integer -> Integer` function value can be
#     handed to an iterator directly, no quotation wrapper and no adapter
#     lambda. THE FAMILY RULE: a PER-CONTAINER Function form hands the
#     container's natural unit (element for a list, KeyVal for a map);
#     `filter`'s single cross-container form (§5) is the documented
#     exception — one signature serving both shapes, so it hands a POSITION
#     descriptor either way. See REFERENCE.md §"Higher-order array words".
#     GRADUATED 2026-08-27 (Stage 3): the list `each` rows below moved
#     here out of lang/spec/frontier/frontier-hof-audit.tsv §12, where
#     they sat because the compile lane reached the callback through an
#     ISLAND. lambdaCallbackInputs simply had no list case for `each` —
#     it handled the MAP twin and fell through — so the lambda lowering
#     declined at its first gate. The convention was measured off the
#     interpreter rather than inferred from the map twin:
#     `def show fn [[e:Any][Any][typeof e]] each show/v [1 2 3]` answers
#     [Integer Integer Integer], i.e. ONE input, the bare element, passed
#     through unchanged. fold / scan / for-each still island — their
#     conventions carry an ACCUMULATOR whose type after step 1 is the
#     body's return, which is a separate measured question.
