# AQL Language Specification: the aql:array-util module
# Format: input<TAB>expected<TAB>description
#
# Loadable module of APL-style array utilities. Import binds the
# `ArrayUtil` namespace, then words are called via dot-access:
# `"aql:array-util" import end  ArrayUtil.word args`. The everyday array
# words (iota/range/take/shed/each/fold/...) stay in core; this module
# holds the specialised shape/structure, selection/ordering,
# membership/grouping, and neighborhood vocabulary.
#
# ---------------------------------------------------------------------
# §1  shape / structure
"aql:array-util" import end  ArrayUtil.shape [[1 2 3] [4 5 6]]	[2 3]	shape: the length along each axis (2 rows, 3 cols)
"aql:array-util" import end  ArrayUtil.rank [[1 2 3] [4 5 6]]	2	rank: the number of axes
"aql:array-util" import end  ArrayUtil.reshape [2 3] [1 2 3 4 5 6]	[[1 2 3] [4 5 6]]	reshape: lay flat data into the given shape
"aql:array-util" import end  ArrayUtil.transpose [[1 2 3] [4 5 6]]	[[1 4] [2 5] [3 6]]	transpose: swap rows and columns of a rank-2 list
#
# §2  selection / ordering
"aql:array-util" import end  ArrayUtil.where [true false true false true]	[0 2 4]	where: indices of the truthy elements
"aql:array-util" import end  ArrayUtil.grade [30 10 20]	[1 2 0]	grade: indices that would sort the list ascending
"aql:array-util" import end  ArrayUtil.at [0 2] [10 20 30 40]	[10 30]	at: select data elements by an index list
"aql:array-util" import end  ArrayUtil.replicate [2 0 3] [1 2 3]	[1 1 3 3 3]	replicate: repeat each element by its count
"aql:array-util" import end  ArrayUtil.expand [true false true] [7 8]	[7 0 8]	expand: spread data into true slots, 0 into false slots
"aql:array-util" import end  ArrayUtil.compress [true false true] [1 2 3]	[1 3]	compress: keep data where the mask is true
#
# §3  membership / grouping
"aql:array-util" import end  ArrayUtil.member [1 5 3] [1 2 3]	[true false true]	member: is each needle present in the haystack
"aql:array-util" import end  ArrayUtil.unique [1 2 2 3 3 3]	[1 2 3]	unique: distinct elements, first-seen order
"aql:array-util" import end  ArrayUtil.indices [20 99 10] [10 20 30]	[1 -1 0]	indices: position of each needle in the haystack, -1 if absent
"aql:array-util" import end  ArrayUtil.group [1 2 3]	{1:[0] 2:[1] 3:[2]}	group (1-arg): map each value to the indices where it occurs
"aql:array-util" import end  ArrayUtil.group ['a' 'b' 'a'] [1 2 3]	{'a':[1 3] 'b':[2]}	group (2-arg): bucket values by their parallel key
#
# §4  neighborhoods
"aql:array-util" import end  ArrayUtil.window 2 [1 2 3 4]	[[1 2] [2 3] [3 4]]	window: all contiguous slices of the given width
"aql:array-util" import end  ArrayUtil.pairs [1 2 3 4]	[[1 2] [2 3] [3 4]]	pairs: consecutive overlapping 2-tuples
#
# §5  rank polymorphism (quoted code body argument)
"aql:array-util" import end  ArrayUtil.eachrank 0 [mul 2] [[1 2] [3 4]]	[[2 4] [6 8]]	eachrank: apply a body at cell-rank 0 (each scalar leaf)
"aql:array-util" import end  ArrayUtil.foldaxis 0 [add] [[1 2] [3 4]]	[4 6]	foldaxis 0: reduce down each column
"aql:array-util" import end  ArrayUtil.foldaxis 1 [add] [[1 2] [3 4]]	[3 7]	foldaxis 1: reduce along each row
#
# §6  negative — a namespace word is undefined until the module is imported
ArrayUtil.shape [[1 2 3]]	ERROR:undefined_word	`ArrayUtil` is unbound without `import`
