# BORU Language Specification: Module / ModuleExport (Ideal types)
# Format: input<TAB>expected<TAB>description
#
# `import` binds each `export "Name" {…}` to a ModuleExport instance
# (Ideal/ModuleExport). A ModuleExport is TRANSPARENT — `X.field` returns
# the raw export, so calling/using exports is unchanged — and carries two
# synthetic names:
#   X.$name    → the export name (String)
#   X.$module  → the owning Module instance (Ideal/Module)
# A Module (Ideal/Module) is the shared descriptor with normal fields
# id, kind, file, folder, exports. The import reference stays lowercase
# (import "boru:math-util"); the bound namespace is CamelCase (MathUtil).
#
# ─────────────────────────────────────────────────────────────────────
# §1  the bound namespace is a ModuleExport, transparent for use
import "boru:math-util"  typeof MathUtil	ModuleExport	import binds a ModuleExport
import "boru:math-util"  MathUtil is ModuleExport	true	…of the Ideal/ModuleExport type
import "boru:math-util"  MathUtil.sqrt 16.0	4.0	transparent: exports are used as before
import "boru:math-util"  MathUtil.$name	'MathUtil'	$name is the export name
#
# §2  $module → the Module descriptor (Ideal/Module) and its fields
import "boru:math-util"  typeof MathUtil.$module	Module	$module is an Ideal/Module
import "boru:math-util"  MathUtil.$module is Module	true	…of the Module type
import "boru:math-util"  MathUtil.$module.name	'boru:math-util'	name is the module reference
import "boru:math-util"  MathUtil.$module.kind	'native'	kind: native / file / inline
import "boru:math-util"  MathUtil.$module.exports	['MathUtil']	exports lists the export names
#
# §3  the -util colliders carry their -util id
import "boru:array-util"  ArrayUtil.$module.name	'boru:array-util'	collider module name
import "boru:type-util"  TypeUtil.$module.kind	'native'	type-util is native too
#
# §4  inline modules — `import module […]` binds all exports; kind="inline"
import module [export "Foo" {a:1 b:2}]  Foo.a	1	inline export field access
import module [export "Foo" {a:1 b:2}]  typeof Foo	ModuleExport	inline binds a ModuleExport
import module [export "Foo" {a:1 b:2}]  Foo.$module.kind	'inline'	inline kind
import module [export "A" {x:1} export "B" {y:2}]  A.$module.exports	['A' 'B']	exports lists every export of the module
import module [export "A" {x:1} export "B" {y:2}]  B.y	2	a second export is independently accessible
import module [export "A" {x:1} export "B" {y:2}]  A.$module is B.$module	true	all exports of a module share one Module instance
#
# §5  rename import — $name keeps the original export name
import [Foo Bar] module [export "Foo" {a:1}]  Bar.a	1	renamed binding still a ModuleExport
import [Foo Bar] module [export "Foo" {a:1}]  Bar.$name	'Foo'	$name is the declared export name, not the alias
#
# §6  negative — a missing export via getr (!.) errors
import "boru:math-util"  MathUtil!.nope	ERROR:not_found	unknown export raises not_found (the documented strict-lookup code)
#
# §7  minted-type identity is per-mint, across module boundaries.
# Types minted in sibling registries (two inline module bodies, or a
# module body and the importing top level) are DISTINCT lattice nodes —
# the dynamic-ID counter is process-global, so same-ordinal mints in
# forked registries can never collide (they did once: a refine of
# Integer in one module was teq-identical to a refine of String in
# another). eng-level pin: eng/go/mintid_test.go; design/OPEN-WORDS.0.md §4.2.
import module [def Foo (refine Integer) export "M1" {Foo: Foo}] import module [def Foo (refine Integer) export "M2" {Foo: Foo}] M1.Foo teq M2.Foo	false	same-shaped newtypes from two modules are distinct nominal identities
import module [def Foo (refine Integer) export "M1" {Foo: Foo}] import module [def Bar (refine String) export "M2" {Bar: Bar}] M1.Foo teq M2.Bar	false	different-shaped mints from two modules are distinct (the original collision)
import module [def Foo (refine Integer) export "M1" {Foo: Foo}] def A (refine String) A teq M1.Foo	false	the first top-level mint after an import is distinct from the module's mint
import module [def Foo (refine Integer) export "M1" {Foo: Foo}] M1.Foo teq M1.Foo	true	a module's exported type is teq-identical to itself
import module [def Foo (refine Integer) export "M1" {Foo: Foo}] import module [def Foo (refine Integer) export "M2" {Foo: Foo}] def F1 M1.Foo def F2 M2.Foo def x:F1 5 x is F2	false	a value of one module's newtype is NOT a member of another module's same-shaped newtype
import module [def Foo (refine Integer) export "M1" {Foo: Foo}] def F1 M1.Foo def x:F1 5 x is F1	true	membership in the owning module's type is unaffected
