# AQL Language Specification: Integer × Float numeric cross product
# Format: input<TAB>expected<TAB>description
#
# Postfix form `a b op` computes `a OP b` in natural reading order
# (stack=[a,b]; top=b→sig[0], deeper=a→sig[1]; handler returns b'OP'a
# where the names line up to a OP b — see arithmetic.tsv §2).
#
# THE CONTRACT UNDER TEST: float contagion. The two numeric leaves are
# Integer and Float. For add/sub/mul/div/mod/pow, Integer⊕Integer stays
# Integer; if EITHER operand is a Float the result is a Float. This file
# pins the full 6-ops × 4-type-combos (II, IF, FI, FF) cross product for
# both the value and its type, plus the edge cases where the result is
# more surprising than "same number, wider type" (see
# design/INTEGER-OVERFLOW-STRATEGY.5.md and WAT-AUDIT Exhibit H/L).

# ───────────────────────── add ─────────────────────────
7 2 add	9	II → Integer
7 2.0 add	9.0	IF → Float (contagion)
7.0 2 add	9.0	FI → Float (contagion)
7.0 2.0 add	9.0	FF → Float
7 2 add typeof	Integer	II result type
7 2.0 add typeof	Float	IF result type
7.0 2 add typeof	Float	FI result type
7.0 2.0 add typeof	Float	FF result type

# ───────────────────────── sub ─────────────────────────
7 2 sub	5	II → Integer
7 2.0 sub	5.0	IF → Float
7.0 2 sub	5.0	FI → Float
7.0 2.0 sub	5.0	FF → Float
7 2 sub typeof	Integer	II result type
7 2.0 sub typeof	Float	IF result type
7.0 2 sub typeof	Float	FI result type
7.0 2.0 sub typeof	Float	FF result type

# ───────────────────────── mul ─────────────────────────
7 2 mul	14	II → Integer
7 2.0 mul	14.0	IF → Float
7.0 2 mul	14.0	FI → Float
7.0 2.0 mul	14.0	FF → Float
7 2 mul typeof	Integer	II result type
7 2.0 mul typeof	Float	IF result type
7.0 2 mul typeof	Float	FI result type
7.0 2.0 mul typeof	Float	FF result type

# ───────────────────────── div ─────────────────────────
# ODDITY: II truncates to an Integer quotient (3), every mixed/FF
# variant does REAL division (3.5). A Float operand changes the VALUE,
# not just the type — even though `7 eq 7.0` is true (see eq rows below).
7 2 div	3	II → Integer, TRUNCATED quotient (not 3.5!)
7 2.0 div	3.5	IF → Float, real division
7.0 2 div	3.5	FI → Float, real division
7.0 2.0 div	3.5	FF → Float, real division
7 2 div typeof	Integer	II result type
7 2.0 div typeof	Float	IF result type
7.0 2 div typeof	Float	FI result type
7.0 2.0 div typeof	Float	FF result type

# ───────────────────────── mod ─────────────────────────
7 2 mod	1	II → Integer
7 2.0 mod	1.0	IF → Float
7.0 2 mod	1.0	FI → Float
7.0 2.0 mod	1.0	FF → Float
7 2 mod typeof	Integer	II result type
7 2.0 mod typeof	Float	IF result type
7.0 2 mod typeof	Float	FI result type
7.0 2.0 mod typeof	Float	FF result type

# ───────────────────────── pow ─────────────────────────
7 2 pow	49	II → Integer
7 2.0 pow	49.0	IF → Float
7.0 2 pow	49.0	FI → Float
7.0 2.0 pow	49.0	FF → Float
7 2 pow typeof	Integer	II result type
7 2.0 pow typeof	Float	IF result type
7.0 2 pow typeof	Float	FI result type
7.0 2.0 pow typeof	Float	FF result type

# ───────── ODDITIES surfaced by the cross product ─────────

# 1. Equal-but-not-substitutable (WAT Exhibit H). 7 and 7.0 compare
#    equal, yet div gives different VALUES (3 vs 3.5) above.
7 7.0 eq	true	cross-leaf magnitude equality
7 7.0 cmp	0	cross-leaf magnitude ordering

# 2. div truncation is toward zero (not floor) for negatives.
-7 2 div	-3	-3, not -4 (truncation toward zero)
-7.0 2 div	-3.5	the Float variant keeps the fraction

# 3. mod result takes the sign of the dividend (a), consistently for
#    both Integer (Go %) and Float (math.Mod).
-7 2 mod	-1	sign follows dividend
7 -2 mod	1	divisor sign does not affect result sign
-7.0 2.0 mod	-1.0	Float mod, same sign rule

# 4. pow asymmetry: a negative exponent is an ERROR for integer pow but
#    a Float exponent (or base) makes it legal (real-valued). Contagion
#    changes whether the op is even defined, not just the type.
2 -1 pow	ERROR:negative exponent	II rejects a negative exponent
2 -1.0 pow	0.5	a Float exponent is allowed → real reciprocal
2.0 -1 pow	0.5	a Float base also flips it to the real path

# 5. Fractional exponent always goes real; a whole result still renders
#    as a Float, and a non-real result is NaN.
9 0.5 pow	3.0	sqrt(9) via Float exponent — Float even though whole
2 0.5 pow	1.4142135623730951	sqrt(2)
-8.0 0.5 pow	nan	sqrt of a negative → NaN, rendered as the `nan` literal

# 6. Division / modulo by zero splits by leaf: Integer is a hard error
#    (no integer infinity), Float follows IEEE-754 (±inf / nan). A Float
#    operand routes the whole op through the Float path.
7 0 div	ERROR:division by zero	Integer divide by zero — no integer infinity
7 0.0 div	inf	Float divide by zero is IEEE +inf (a Float operand wins)
0.0 0.0 div	nan	0/0 is IEEE nan
7 0 mod	ERROR:modulo by zero	Integer modulo by zero
7 0.0 mod	nan	Float modulo by zero is IEEE nan

# 7. Contagion can SILENTLY LOSE integer precision. II stays exact;
#    mixing a large Integer with a Float drops to float64's 53-bit
#    mantissa — the `+ 1` vanishes.
10000000000000000 1 add	10000000000000001	II is exact
10000000000000000 1.0 add	10000000000000000.0	IF: the +1 is lost to float64 precision
#
# 8. Integer literals are exact at every magnitude — decimal AND
#    base-prefixed — and a leading + is accepted and range-checked.
0x20000000000001	9007199254740993	hex above 2^53 keeps full precision (not ...992)
0x7FFFFFFFFFFFFFFF	9223372036854775807	int64 max via hex
+9223372036854775807	9223372036854775807	leading + parses exactly
+9223372036854775808	ERROR:integer_overflow	leading + is range-checked too
-0x8000000000000000	-9223372036854775808	hex int64 min now parses (was undefined_word)
0x8000000000000000	ERROR:integer_overflow	hex above int64 max → clean overflow (was undefined_word)
#
# 9. Numeric-literal syntax rules.
#    `_` is a single separator between digits; a leading `.` (even signed)
#    is not a number.
1_000_000	1000000	single underscores between digits are fine
1__0	ERROR:syntax_error	repeated `_` rejected
1_	ERROR:syntax_error	trailing `_` rejected
-.5	ERROR:syntax_error	signed leading dot rejected — write -0.5
+.5	ERROR:syntax_error	signed leading dot rejected — write 0.5
-0.5	-0.5	the digit-before-dot form is valid
#
# 10. A float literal that overflows binary64 is a clear float_overflow
#     (not an opaque undefined_word); use the `inf` literal for infinity.
1e309	ERROR:float_overflow	overflowing float literal
-1e400	ERROR:float_overflow	overflowing negative float literal
1e308	1e+308	in range — renders in scientific form
inf	inf	the infinity literal is how you write ±inf
