# boru Language Specification: within-type scalar & Micron operations
# Format: input<TAB>expected<TAB>description
#
# Every scalar type and every Micron kind has WELL-DEFINED behaviour under
# the binary arithmetic words add / sub / mul / div / mod / pow, applied
# WITHIN a type (never across it — a cross-type pair is a type error).
# Rows use the infix form `a op b`, which reads naturally (the handler
# computes `a OP b`); the pure forward form `op a b` reverses the operands,
# exactly like the numeric words (see arithmetic.tsv).
#
# ─────────────────────────────────────────────────────────────────────
# §1  String — the occurrence package
#   add : concatenation (rides the [String Scalar] sig)
#   sub : remove every occurrence of the right operand
#   div : count occurrences (an Integer)
#   mod : the tail after the LAST occurrence (whole string if none)
#   mul : operand-major Cartesian character product
#   pow : the left operand repeated once per character of the right
"foo" add "bar"	'foobar'	String add is concatenation
"hello.txt" sub ".txt"	'hello'	sub removes the occurrence
"a-b-c" sub "-"	'abc'	sub removes every occurrence
"missing" sub "zzz"	'missing'	sub with no occurrence is unchanged
"a,b,c" div ","	2	div counts occurrences
"aaaa" div "aa"	2	div counts NON-overlapping occurrences
"abc" div "z"	0	div with no occurrence is zero
"path/to/file" mod "/"	'file'	mod is the tail after the last separator
"nosep" mod "/"	'nosep'	mod with no occurrence is the whole string
"ab" mul "xy"	'axaybxby'	mul is the Cartesian character product
"ab" pow "xy"	'abab'	pow repeats the left once per right char
"x" pow ""	''	pow by an empty string is empty
"abc" sub ""	'abc'	sub by an empty string is unchanged
# negatives — dividing / modding by an empty string has no defined result
"abc" div ""	ERROR:division by an empty string	div by empty string errors
"abc" mod ""	ERROR:modulo by an empty string	mod by empty string errors
#
# ─────────────────────────────────────────────────────────────────────
# §2  Atom — the occurrence package on the name (Atom result; div counts)
foo/q add bar/q	foobar/q	Atom add concatenates names
foobar/q sub bar/q	foo/q	Atom sub removes an occurrence
foo/q div o/q	2	Atom div counts occurrences (Integer)
ab/q mul xy/q	axaybxby/q	Atom mul is the Cartesian product
typeof (foo/q add bar/q)	Atom	Atom string-producing op stays an Atom
typeof (foo/q div o/q)	Integer	Atom div yields an Integer
#
# ─────────────────────────────────────────────────────────────────────
# §3  Boolean — arithmetic is a DEFINED ERROR (use and / or / xor / not)
