# boru Language Specification: String operations (concat split trim
# contains indexof replace changecase upper lower repeat pad escape match)
# Format: input<TAB>expected<TAB>description
#
# String words are forward-eligible. Most take the subject string first;
# several accept a trailing options Map (e.g. trim {chars:…}, changecase
# {style:…}). concat reduces a List of values to one String.
#
# ─────────────────────────────────────────────────────────────────────
# §1  concat — join a list of values into one String
import "boru:string-util" StringUtil.concat ['a' 'b' 'c']	'abc'	concatenate string elements
import "boru:string-util" StringUtil.concat ['x' 1 true]	'x1true'	non-string elements coerce to text
import "boru:string-util" StringUtil.concat []	''	empty list → empty string
#
# §2  split — subject (input) LAST: `split sep input`
import "boru:string-util" StringUtil.split ',' 'a,b,c'	['a' 'b' 'c']	split on a separator
import "boru:string-util" StringUtil.split '' 'hello'	['h' 'e' 'l' 'l' 'o']	empty separator splits into characters
import "boru:string-util" 'a,b,c' StringUtil.split ','	['a' 'b' 'c']	infix form: input flows from the stack
#
# §3  trim — drop surrounding whitespace, or a custom char set
import "boru:string-util" StringUtil.trim '  hi  '	'hi'	default trims whitespace
import "boru:string-util" StringUtil.trim 'xxhixx' {chars: 'x'}	'hi'	{chars} option trims a custom set
#
# §4  contains / indexof — haystack LAST: `contains needle haystack`
import "boru:string-util" StringUtil.contains 'ell' 'hello'	true	substring present
import "boru:string-util" StringUtil.contains 'zzz' 'hello'	false	substring absent
import "boru:string-util" 'hello' StringUtil.contains 'ell'	true	infix form: haystack flows from the stack
# indexof is HAYSTACK-LAST: `indexof needle haystack` (data-last grain).
import "boru:string-util" StringUtil.indexof 'l' 'hello'	2	zero-based index of needle in haystack
import "boru:string-util" StringUtil.indexof 'z' 'hello'	-1	-1 when the needle is absent
import "boru:string-util" 'hello' StringUtil.indexof 'l'	2	infix form reads needle-in-haystack left-to-right
import "boru:string-util" 'hello' 'l' StringUtil.indexof	2	pipeline form: haystack flows from the stack
#
# §5  replace — first occurrence only; subject (input) LAST: `replace search repl input`
import "boru:string-util" StringUtil.replace '.' '-' 'a.b.c'	'a-b.c'	replaces only the first match by default
#
# §6  case
import "boru:string-util" StringUtil.changecase 'hello' {style: 'upper'}	'HELLO'	{style:'upper'}
import "boru:string-util" StringUtil.changecase 'Hello'	'hello'	default style lowercases
import "boru:string-util" StringUtil.changecase 'hello world' {style: 'title'}	'Hello World'	{style:'title'}
import "boru:string-util" StringUtil.upper 'hi'	'HI'	uppercase shortcut
import "boru:string-util" StringUtil.lower 'HI'	'hi'	lowercase shortcut
#
# §7  repeat / pad / escape — repeat is subject-last: `repeat count input`
import "boru:string-util" StringUtil.repeat 3 'ab'	'ababab'	repeat n times
import "boru:string-util" StringUtil.pad 5 'x'	'x    '	pad string to a width (right-padded)
import "boru:string-util" StringUtil.escape 'a<b'	'a\\<b'	escape special characters (canon renders the literal backslash escaped, so the output re-parses to the same 4-char string)
#
# §8  match — literal substring search; subject (input) LAST: `match pattern input`
import "boru:string-util" (StringUtil.match '123' 'abc123').ok	true	a match was found
import "boru:string-util" (StringUtil.match 'xyz' 'abc123').ok	false	no match
import "boru:string-util" (StringUtil.match '123' 'abc123').n	1	number of matches
#
# §9  errors — string words reject non-string subjects
