# parser/spec/parse.tsv — the parser-level parity corpus.
#
# One row per source, tab-separated:  src <TAB> expected
#
# A line is a COMMENT only when it starts with '#' AND contains no tab, so a
# source may itself begin with '#' (boru's comment marker) without vanishing.
# Blank lines are ignored.
#
# EVERY column is escaped (\n, \t, \\) so a row is exactly one line. A render
# can itself contain a newline — XML text spanning lines does — and an
# unescaped one splits the row and silently truncates it rather than failing.
#
# `expected` is the canon of the parsed value stream (each value rendered,
# space-joined), or 'ERR ' and the first line of the error text. Both engines
# must produce it: parser/go/parserspec_test.go and
# parser/ts/src/parserspec.test.ts read these files with NO shared code, the
# same two-runner discipline core/spec uses.
#
# Rows the two engines DISAGREE on are not here — they are in divergent.tsv
# with both renders, so this file stays one contract rather than a lowest
# common denominator.
#
# Seeded from parser/go. parse-battery.test.ts named it the reference while
# nothing checked that claim (design/TS-PARITY-AUDIT.0.md).
'a\\nb'	'a\\nb'
't\\tt'	't\\tt'
'r\\rr'	'r\\rr'
'bs\\\\'	'bs\\\\'
'q\\'q'	"q'q"
"dq\\""	'dq"'
0d_	ERR [boru/syntax_error]: invalid 0d numeric literal: 0d_
0d12_	ERR [boru/syntax_error]: invalid 0d numeric literal: 0d12_
1.2.3	ERR [boru/syntax_error]: a number has no members to access with `.`
5 . foo	ERR [boru/syntax_error]: a number has no members to access with `.`
a => [1]	word(a) sugar(lambda) [1]
<br/>	<br/>
<a href='u'>t</a>	<a href="u">t</a>
<t a='1' b='2'><u/>text</t>	<t a="1" b="2"><u/>text</t>
`v ${1} w`	interp('v ' ${1} ' w')
`${x}`	interp(${word(x)})
{:String}	{:word(String)}
# comment\n1	1
1 # trailing	1
(quote a)	paren([word(quote) word(a)])
{a:{b:[1 2]}}	{a:{b:[1 2]}}
[{x:1}]	[{x:1}]
-2.5e3	-2500.0
1e-7	0.0000001
a:b	{a:word(b)}
's':1	{s:1}
12:30:00	{12:{30:0}}
a/b/c	word(a/b/c)
f/q	f/q
Box<Integer>	sugar(angle Box [word(Integer)])
{x: Box<Integer>}	{x:sugar(angle Box [word(Integer)])}
Box<Integer String>	sugar(angle Box [word(Integer) word(String)])
Box<>	sugar(angle Box [])
(Box of [Integer])	paren([word(Box) word(of) [word(Integer)]])
1_000	1000
1_0.5	10.5
1__0	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 1__0
'u\\u0041'	'uA'
'x\\x41'	'xA'
'q\\z'	'qz'
{a: true}	{a:word(true)}
[true false]	[word(true) word(false)]
{b: none}	{b:none}
{x}	{x:word(x)}
{x/r}	{x:word(x)}
{x/2}	{x:word(x)}
{x/s}	{x:word(x)}
{x/q}	{x:x/q}
{x/zz}	{x/zz:word(x/zz)}
{a x/r}	{a:word(a) x:word(x)}
<a>&amp;&lt;&gt;</a>	<a>&amp;&lt;&gt;</a>
<a b='&amp;'/>	<a b="&amp;"/>
<a>&#65;</a>	<a>&amp;#65;</a>
<a>&quot;</a>	<a>"</a>
<a	ERR xml: unterminated opening tag <a>
<a></b>	ERR xml: mismatched closing tag </b> for <a>
<	ERR [boru/syntax_error]: unexpected `` — nothing valid can appear here
<a>\nx</a>	<a>\nx</a>
<a x='1' x='2'/>	ERR xml: duplicate attribute "x" in <a>
<a x='1/>	ERR xml: unterminated value for attribute "x" in <a>
<a x=''/>	<a x=""/>
<a>x</ a >	<a>x</a>
<a>x</	ERR xml: malformed closing tag for <a>
<a>x</a!	ERR xml: malformed closing tag for <a>
<a><b y='1></b></a>	ERR xml: unterminated value for attribute "y" in <b>
<a>${'s'}</a>	interp-xml(<a>${'s'}</a>)
<a>${{k:1}}</a>	interp-xml(<a>${{k:1}}</a>)
<a>${(}</a>	ERR xml: in ${...}: [boru/syntax_error]: unmatched opening parenthesis
`a\\nb`	'a\\nb'
`t\\ta\\r\\\\q\\`e\\$s\\zx`	't\\ta\\r\\\\q`e$s\\\\zx'
[inf -inf nan]	[inf -inf nan]
0x10	16
0o17	15
0b101	5
0x1_0	16
0x_1	1
0x1_	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 0x1_
0x1__0	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 0x1__0
0_x1	ERR [boru/syntax_error]: invalid numeric literal: 0_x1
0xFFFFFFFFFFFFFFFFFF	ERR [boru/integer_overflow]: integer literal out of range: 0xFFFFFFFFFFFFFFFFFF exceeds the Integer range (-9223372036854775808..9223372036854775807)
[1,,2]	ERR [boru/syntax_error]: empty list element: remove the leading/repeated comma (write `none` for an explicit empty value)
[,1]	ERR [boru/syntax_error]: empty list element: remove the leading/repeated comma (write `none` for an explicit empty value)
{a:<b/>}	{a:<b/>}
{a:<b x=1/>}	ERR xml: attribute "x" in <b> must have a quoted value
   	
# only a comment	
. x	ERR [boru/syntax_error]: `.` member access has no receiver
! . x	ERR [boru/syntax_error]: `.` member access has no receiver
[x:Integer]	[{x:word(Integer)}]
+m'src'	sugar(mini m 'src')
(1,,2)	ERR [boru/syntax_error]: empty list element: remove the leading/repeated comma (write `none` for an explicit empty value)
(,1)	ERR [boru/syntax_error]: empty list element: remove the leading/repeated comma (write `none` for an explicit empty value)
(1,)	ERR [boru/syntax_error]: unmatched opening parenthesis
(,)	ERR [boru/syntax_error]: unmatched opening parenthesis
(1, 2)	paren([1 2])
[1,]	[1]
{a:,}	ERR [boru/syntax_error]: empty list element: remove the leading/repeated comma (write `none` for an explicit empty value)
Box<Integer	ERR [boru/syntax_error]: unclosed angle bracket: Box<… has no matching `>`
+.5	ERR [boru/syntax_error]: numeric literal has no digit before `.`: +.5
0d	ERR [boru/syntax_error]: invalid numeric literal: 0d
0dx	ERR [boru/syntax_error]: invalid 0d numeric literal: 0dx
-0x10	-16
[0x10]	[16]
{a?:5}	{a:(None tor Absent tor 5)}
{a?:Integer}	{a:(word(Integer) tor None tor Absent)}
a.b.c	a.b.c
a!.b	a!.b
$.name	$.name
m.'k'	m.'k'
a.(k)	a.(k)
(m n).k	(m n).k
[[x] => [x]]	[paren([[word(x)] sugar(lambda) [word(x)]])]
[1 => [2]]	[paren([1 sugar(lambda) [2]])]
{f:[x] => [x]}	ERR [boru/syntax_error]: unexpected `=>` — nothing valid can appear here
a.b => [1]	a.(b sugar(lambda) [1])
{[k]:1}	{k:1}
{[k]:1 aa:2}	{k:1 aa:2}
{[k]:1 [j]:2}	{k:1 j:2}
{1.5:2}	{1.5:2}
{'sk':1}	{sk:1}
{a?:1 b:2}	{a:(None tor Absent tor 1) b:(None tor Absent tor 2)}
<a href=>x</a>	ERR xml: attribute "href" in <a> must have a quoted value
<a 'x'/>	ERR xml: invalid attribute name in <a>
<a>${1}</a>	interp-xml(<a>${1}</a>)
<a b='${2}'/>	interp-xml(<a b="${2}"/>)
<a><b>${3}</b></a>	interp-xml(<a><b>${3}</b></a>)
<a><!-- c --></a>	<a/>
<a><!-- unclosed	ERR xml: unterminated comment in <a>
<a  b = '1' />	<a b="1"/>
<a b='x&lt;y'/>	<a b="x&lt;y"/>
<a b='x&gt;y&amp;z'/>	<a b="x&gt;y&amp;z"/>
<a>t1<b/>t2</a>	<a>t1<b/>t2</a>
<a><b/><c/></a>	<a><b/><c/></a>
<a>pre${1}mid${2}post</a>	interp-xml(<a>pre${1}mid${2}post</a>)
<a b='p${1}q'/>	interp-xml(<a b="p${1}q"/>)
<a-b c-d='1'/>	<a-b c-d="1"/>
<a_b/>	<a_b/>
<A/>	<A/>
</a>	ERR xml: expected a tag name after '<'
<a/ >	ERR xml: expected '/>' to close <a>
< a/>	ERR xml: expected a tag name after '<'
w/t	sugar(type-bound [[w]])
w/u	word(w)
f/s	word(f)
f/12	word(f)
x/tt	ERR [boru/syntax_error]: invalid word modifier /tt on "x"
x/uu	ERR [boru/syntax_error]: invalid word modifier /uu on "x"
x => [1]	word(x) sugar(lambda) [1]
[a => [1]]	[paren([word(a) sugar(lambda) [1]])]
(x => [x 1])	paren([paren([word(x) sugar(lambda) [word(x) 1]])])
a b => [1]	word(a) paren([word(b) sugar(lambda) [1]])
{f: x => [x]}	ERR [boru/syntax_error]: unexpected `=>` — nothing valid can appear here
Box<Integer> of [1]	sugar(angle Box [word(Integer)]) word(of) [1]
{p: Pair<A B>}	{p:sugar(angle Pair [word(A) word(B)])}
` plain `	' plain '
`${1}${2}`	interp(${1} ${2})
`a${'s'}b`	interp('a' ${'s'} 'b')
(1	ERR [boru/syntax_error]: unmatched opening parenthesis
1 (2 3	ERR [boru/syntax_error]: unmatched opening parenthesis
[1	[1]
{a:1	{a:1}
'unterm	ERR [boru/syntax_error]: this string is never closed: 'unterm
9223372036854775808	ERR [boru/integer_overflow]: integer literal out of range: 9223372036854775808 exceeds the Integer range (-9223372036854775808..9223372036854775807)
-9223372036854775809	ERR [boru/integer_overflow]: integer literal out of range: -9223372036854775809 exceeds the Integer range (-9223372036854775808..9223372036854775807)
0.1_2	0.12
'a' : 1	{a:1}
{'q k':2}	{q k:2}
{5:1}	{5:1}
true:1	{true:1}
{none:1}	{none:1}
(A tor None)	paren([word(A) word(tor) word(None)])
(None tor A)	paren([word(None) word(tor) word(A)])
x => y => [x]	word(x) sugar(lambda) paren([word(y) sugar(lambda) [word(x)]])
[x y => [x]]	[word(x) paren([word(y) sugar(lambda) [word(x)]])]
[{k:1} => [1]]	[paren([{k:1} sugar(lambda) [1]])]
[a:1 => [2]]	[paren([{a:1} sugar(lambda) [2]])]
[1 2 => [3] 4]	[1 paren([2 sugar(lambda) [3]]) 4]
(=> [1])	paren([sugar(lambda) [1]])
n => [n] 5	word(n) sugar(lambda) [word(n)] 5
1 x => [x 2] 3	1 paren([word(x) sugar(lambda) [word(x) 2]]) 3
{m: [x] => [x]}	ERR [boru/syntax_error]: unexpected `=>` — nothing valid can appear here
{x.y:1}	ERR [boru/syntax_error]: unexpected `.` — nothing valid can appear here
{n: bf.n addq 1}	ERR [boru/syntax_error]: unexpected `1` — nothing valid can appear here
Box<T extends Integer>	sugar(angle Box [word(T) word(extends) word(Integer)])
Box<T = Integer>	sugar(angle Box [word(T) word(=) word(Integer)])
Box<T extends Integer U = String>	sugar(angle Box [word(T) word(extends) word(Integer) word(U) word(=) word(String)])
Box<T extends>	sugar(angle Box [word(T) word(extends)])
Box<lower>	sugar(angle Box [word(lower)])
Box<T extends Integer,U>	sugar(angle Box [word(T) word(extends) word(Integer) word(U)])
def Box<T> (refine List)	word(def) sugar(angle Box [word(T)]) paren([word(refine) word(List)])
true	word(true)
false	word(false)
inf	inf
-inf	-inf
nan	nan
Foo	word(Foo)
a/u	word(a)
a/s	word(a)
a/f	word(a)
a/2	word(a)
a/q	a/q
a/r	word(a)
a/t	sugar(type-bound [[a]])
a/qq	ERR [boru/syntax_error]: invalid word modifier /qq on "a"
a/fs	ERR [boru/syntax_error]: invalid word modifier /fs on "a"
a/ur	word(a)
a/uq	ERR [boru/syntax_error]: invalid word modifier /uq on "a"
a/rq	ERR [boru/syntax_error]: invalid word modifier /rq on "a"
a/tt	ERR [boru/syntax_error]: invalid word modifier /tt on "a"
a/0	word(a)
a/1f	word(a)
a/su	word(a)
0x1f	31
0b1011	11
0xFFFFFFFFFFFFFFFFF	ERR [boru/integer_overflow]: integer literal out of range: 0xFFFFFFFFFFFFFFFFF exceeds the Integer range (-9223372036854775808..9223372036854775807)
1_0	10
_1	word(_1)
0b	ERR [boru/syntax_error]: invalid numeric literal: 0b
0x	ERR [boru/syntax_error]: invalid numeric literal: 0x
<a n=${1}/>	interp-xml(<a n="${1}"/>)
<a n=${x}/>	interp-xml(<a n="${word(x)}"/>)
<a>t${1}u</a>	interp-xml(<a>t${1}u</a>)
<a n='a\\'b'/>	ERR xml: invalid attribute name in <a>
<a n="a\\"b"/>	ERR xml: invalid attribute name in <a>
<a>	ERR xml: unterminated element <a>
<a n/>	<a n=""/>
<>	ERR xml: expected a tag name after '<'
a.b	a.b
a.'k'	a.'k'
a.0	a.0
{:Integer}	{:word(Integer)}
{}	{}
[]	[]
`a\\`b`	'a`b'
`a\\$b`	'a$b'
( 1 )	paren([1])
(	ERR [boru/syntax_error]: unmatched opening parenthesis
1 tor 2	1 word(tor) 2
Integer tor String	word(Integer) word(tor) word(String)
