# parser/spec/shape.tsv — parser output that canonical rendering omits.
#
# Exactly three tab-separated columns: unique case, escaped source, escaped
# semantic shape. Every column after the case uses the same \n, \t, \\ escape
# notation as parse.tsv. Both runners implement the reader and renderer
# independently.
#
# Positions are 1-based Unicode-code-point columns; 0:0:"" means that a
# structural root was synthesized without an authored token. `e` and `q` are
# Value.Eval and Value.Quoted. Map
# facets, typed-container payloads, and every SugarInfo field are explicit.
top-positions	foo\n  bar baz	values=[v(c="word(foo)",p=1:1:"foo",e=0,q=0,w={name="foo",argc=-1,stack=0,forward=0,ref=0,usurp=0}),v(c="word(bar)",p=2:3:"bar",e=0,q=0,w={name="bar",argc=-1,stack=0,forward=0,ref=0,usurp=0}),v(c="word(baz)",p=2:7:"baz",e=0,q=0,w={name="baz",argc=-1,stack=0,forward=0,ref=0,usurp=0})]
nested-positions	[foo\n  {a: bar}\n  (baz)]	values=[v(c="[word(foo) {a:word(bar)} paren([word(baz)])]",p=0:0:"",e=1,q=0,list=[v(c="word(foo)",p=1:2:"foo",e=0,q=0,w={name="foo",argc=-1,stack=0,forward=0,ref=0,usurp=0}),v(c="{a:word(bar)}",p=2:3:"{",e=1,q=0,map={implicit=0,computed=[],entries=["a"=>v(c="word(bar)",p=2:7:"bar",e=0,q=0,w={name="bar",argc=-1,stack=0,forward=0,ref=0,usurp=0})]}),v(c="paren([word(baz)])",p=3:3:"(",e=0,q=0,paren=[v(c="word(baz)",p=3:4:"baz",e=0,q=0,w={name="baz",argc=-1,stack=0,forward=0,ref=0,usurp=0})])])]
operator-reach	alpha.beta!.gamma	values=[v(c="alpha.beta!.gamma",p=1:1:"alpha",e=0,q=0,reach={eval=1,recv=[v(c="word(alpha)",p=1:1:"alpha",e=0,q=0,w={name="alpha",argc=-1,stack=0,forward=0,ref=0,usurp=0})],segs=[dot(lit=v(c="word(beta)",p=1:7:"beta",e=0,q=0,w={name="beta",argc=-1,stack=0,forward=0,ref=0,usurp=0})),getr(lit=v(c="word(gamma)",p=1:13:"gamma",e=0,q=0,w={name="gamma",argc=-1,stack=0,forward=0,ref=0,usurp=0}))]})]
eval-and-quoted-flags	[foo] {a: bar} "quoted" quoted/q	values=[v(c="[word(foo)]",p=1:1:"[",e=1,q=0,list=[v(c="word(foo)",p=1:2:"foo",e=0,q=0,w={name="foo",argc=-1,stack=0,forward=0,ref=0,usurp=0})]),v(c="{a:word(bar)}",p=1:7:"{",e=1,q=0,map={implicit=0,computed=[],entries=["a"=>v(c="word(bar)",p=1:11:"bar",e=0,q=0,w={name="bar",argc=-1,stack=0,forward=0,ref=0,usurp=0})]}),v(c="'quoted'",p=1:16:"\"quoted\"",e=0,q=0),v(c="quoted/q",p=1:25:"quoted/q",e=0,q=0,atom="quoted")]
word-modifiers	arity/12 forward/f stack/s reference/r usurp/u held/ur quoted/q	values=[v(c="word(arity)",p=1:1:"arity/12",e=0,q=0,w={name="arity",argc=12,stack=0,forward=0,ref=0,usurp=0}),v(c="word(forward)",p=1:10:"forward/f",e=0,q=0,w={name="forward",argc=-1,stack=0,forward=1,ref=0,usurp=0}),v(c="word(stack)",p=1:20:"stack/s",e=0,q=0,w={name="stack",argc=-1,stack=1,forward=0,ref=0,usurp=0}),v(c="word(reference)",p=1:28:"reference/r",e=0,q=0,w={name="reference",argc=-1,stack=0,forward=0,ref=1,usurp=0}),v(c="word(usurp)",p=1:40:"usurp/u",e=0,q=0,w={name="usurp",argc=-1,stack=0,forward=0,ref=0,usurp=1}),v(c="word(held)",p=1:48:"held/ur",e=0,q=0,w={name="held",argc=-1,stack=0,forward=0,ref=1,usurp=1}),v(c="quoted/q",p=1:56:"quoted/q",e=0,q=0,atom="quoted")]
structured-error	{\n  x.y: 1\n}	error(code="syntax_error",detail="unexpected `.` — nothing valid can appear here",p=2:4:".",full="{\\n  x.y: 1\\n}",hint="",notes=["boru's grammar allows no continuation with `.` at this position"],help=["check for a missing bracket, quote, or value just before it"])
step-limit-error	[Map<]	error(code="syntax_error",detail="unexpected `]` — nothing valid can appear here",p=1:6:"]",full="[Map<]",hint="",notes=["boru's grammar allows no continuation with `]` at this position"],help=["check for a missing bracket, quote, or value just before it"])
invalid-modifier-error	a/ss	error(code="syntax_error",detail="invalid word modifier /ss on \"a\"",p=0:0:"a/ss",full="",hint="modifier letters stack in any order, each at most once; f|s are exclusive; q excludes r and u; t combines with nothing; digits form one contiguous run within int range",notes=[],help=[])
float-overflow-error	1e400	error(code="float_overflow",detail="floating-point literal out of range: 1e400 overflows to infinity",p=0:0:"1e400",full="",hint="the Float range is about ±1.8e308; write the `inf` literal for infinity",notes=[],help=[])
malformed-number-error	0i	error(code="syntax_error",detail="invalid numeric literal: 0i",p=0:0:"0i",full="",hint="a number is digits with an optional sign, base prefix (0x/0o/0b), `.`, exponent (`e`), and single `_` separators — and a name cannot start with a digit",notes=[],help=[])
big-literal-error	0d_	error(code="syntax_error",detail="invalid 0d numeric literal: 0d_",p=0:0:"0d_",full="",hint="a 0d literal is `0d` then digits, with an optional `.fraction`, exponent, and `_` separators",notes=[],help=[])
integer-overflow-error	9223372036854775808	error(code="integer_overflow",detail="integer literal out of range: 9223372036854775808 exceeds the Integer range (-9223372036854775808..9223372036854775807)",p=1:1:"9223372036854775808",full="",hint="this value exceeds the 64-bit signed Integer range; use a Float (e.g. add a decimal point) for an approximate magnitude",notes=[],help=[])
underscore-error	1_	error(code="syntax_error",detail="misplaced `_` in numeric literal: 1_",p=1:1:"1_",full="",hint="`_` is a single digit-separator — use one between digits, e.g. `1_000` (not `1__0` or `1_`)",notes=[],help=[])
leading-dot-error	+.5	error(code="syntax_error",detail="numeric literal has no digit before `.`: +.5",p=1:1:"+.5",full="",hint="write a leading zero, e.g. `-0.5` instead of `-.5`",notes=[],help=[])

# Payload facets that canonical rendering deliberately cannot distinguish.
map-facets	[a:1 {[k]:2}]	values=[v(c="[{a:1} {k:2}]",p=0:0:"",e=1,q=0,list=[v(c="{a:1}",p=0:0:"",e=1,q=0,map={implicit=1,computed=[],entries=["a"=>v(c="1",p=1:4:"1",e=0,q=0)]}),v(c="{k:2}",p=1:6:"{",e=1,q=0,map={implicit=0,computed=["k"],entries=["k"=>v(c="2",p=1:11:"2",e=0,q=0)]})])]
typed-container-payloads	[:Integer 1] {:String a:'x'}	values=[v(c="[:Integer 1]",p=1:1:"[",e=0,q=0,typed={kind="list",child=v(c="word(Integer)",p=1:3:"Integer",e=0,q=0,w={name="Integer",argc=-1,stack=0,forward=0,ref=0,usurp=0}),elements=[v(c="1",p=1:11:"1",e=0,q=0)],entries=[]}),v(c="{:String a:'x'}",p=1:14:"{",e=0,q=0,typed={kind="map",child=v(c="word(String)",p=1:16:"String",e=0,q=0,w={name="String",argc=-1,stack=0,forward=0,ref=0,usurp=0}),elements=[],entries=["a"=>v(c="'x'",p=1:25:"'x'",e=0,q=0)]})]
